	age	sex	batch
SAMPLE1	49	0	2
SAMPLE2	45	0	2
SAMPLE3	61	0	2
SAMPLE4	50	1	2
SAMPLE5	46	1	2
SAMPLE6	54	1	3
SAMPLE7	58	0	1
SAMPLE8	61	1	3
SAMPLE9	44	0	3
SAMPLE10	57	0	3
SAMPLE11	60	1	3
SAMPLE12	47	1	3
SAMPLE13	49	1	1
SAMPLE14	43	1	1
SAMPLE15	58	1	2
SAMPLE16	49	0	1
SAMPLE17	39	1	2
SAMPLE18	41	0	2
SAMPLE19	61	0	2
SAMPLE20	50	1	1
SAMPLE21	55	0	3
SAMPLE22	29	0	2
SAMPLE23	37	0	1
SAMPLE24	43	1	1
SAMPLE25	53	0	1
SAMPLE26	58	1	1
SAMPLE27	55	0	1
SAMPLE28	43	0	2
SAMPLE29	47	1	3
SAMPLE30	53	0	2
SAMPLE31	55	1	3
SAMPLE32	43	1	3
SAMPLE33	49	0	3
SAMPLE34	42	0	1
SAMPLE35	63	1	2
SAMPLE36	54	1	3
SAMPLE37	66	0	2
SAMPLE38	53	0	1
SAMPLE39	32	1	3
SAMPLE40	54	0	2
SAMPLE41	46	1	1
SAMPLE42	58	0	2
SAMPLE43	32	0	3
SAMPLE44	57	0	2
SAMPLE45	56	1	2
SAMPLE46	45	1	1
SAMPLE47	57	1	2
SAMPLE48	46	0	2
SAMPLE49	51	0	3
SAMPLE50	65	1	3
SAMPLE51	50	0	2
SAMPLE52	43	0	3
SAMPLE53	58	1	1
SAMPLE54	37	1	1
SAMPLE55	41	1	2
SAMPLE56	52	0	2
SAMPLE57	51	1	3
SAMPLE58	50	0	1
SAMPLE59	55	0	3
SAMPLE60	50	1	1
SAMPLE61	37	0	3
SAMPLE62	49	0	2
SAMPLE63	52	0	2
SAMPLE64	37	1	3
SAMPLE65	44	0	1
SAMPLE66	28	1	1
SAMPLE67	48	0	2
SAMPLE68	31	0	1
SAMPLE69	59	0	1
SAMPLE70	28	1	3
SAMPLE71	68	0	3
SAMPLE72	49	0	2
SAMPLE73	58	0	2
SAMPLE74	37	0	1
SAMPLE75	51	0	2
SAMPLE76	45	0	2
SAMPLE77	47	0	3
SAMPLE78	57	0	1
SAMPLE79	42	0	3
SAMPLE80	50	0	3
SAMPLE81	51	0	2
SAMPLE82	44	1	3
SAMPLE83	49	0	3
SAMPLE84	46	1	2
SAMPLE85	38	0	2
SAMPLE86	58	0	1
SAMPLE87	42	0	1
SAMPLE88	53	0	1
SAMPLE89	64	1	1
SAMPLE90	45	0	2
SAMPLE91	47	0	3
SAMPLE92	52	0	2
SAMPLE93	26	1	2
SAMPLE94	50	1	2
SAMPLE95	71	0	1
SAMPLE96	43	1	3
SAMPLE97	63	1	1
SAMPLE98	57	0	2
SAMPLE99	50	1	2
SAMPLE100	48	0	3
SAMPLE101	40	1	3
SAMPLE102	32	1	2
SAMPLE103	49	1	1
SAMPLE104	41	1	3
SAMPLE105	36	0	3
SAMPLE106	63	1	3
SAMPLE107	59	0	3
SAMPLE108	56	1	2
SAMPLE109	44	0	1
SAMPLE110	47	0	1
SAMPLE111	69	1	2
SAMPLE112	57	0	1
SAMPLE113	45	1	3
SAMPLE114	44	1	2
SAMPLE115	52	1	1
SAMPLE116	54	0	3
SAMPLE117	45	1	1
SAMPLE118	51	1	1
SAMPLE119	57	1	1
SAMPLE120	54	1	3
SAMPLE121	44	0	1
SAMPLE122	45	1	2
SAMPLE123	42	0	3
SAMPLE124	49	0	3
SAMPLE125	61	1	3
SAMPLE126	53	1	3
SAMPLE127	59	1	2
SAMPLE128	59	1	3
SAMPLE129	55	0	2
SAMPLE130	55	1	3
SAMPLE131	51	1	2
SAMPLE132	33	1	2
SAMPLE133	47	0	2
SAMPLE134	63	0	1
SAMPLE135	60	0	3
SAMPLE136	36	0	3
SAMPLE137	40	1	1
SAMPLE138	39	0	3
SAMPLE139	39	1	3
SAMPLE140	54	1	2
SAMPLE141	55	1	3
SAMPLE142	64	0	2
SAMPLE143	38	1	3
SAMPLE144	52	0	1
SAMPLE145	54	1	2
SAMPLE146	57	1	2
SAMPLE147	51	1	2
SAMPLE148	49	1	3
SAMPLE149	49	1	3
SAMPLE150	62	0	3
SAMPLE151	42	1	2
SAMPLE152	50	0	3
SAMPLE153	50	1	3
SAMPLE154	56	1	1
SAMPLE155	53	0	1
SAMPLE156	39	0	3
SAMPLE157	68	0	2
SAMPLE158	67	1	2
SAMPLE159	52	0	3
SAMPLE160	40	0	3
SAMPLE161	46	0	3
SAMPLE162	32	0	3
SAMPLE163	55	0	3
SAMPLE164	47	1	1
SAMPLE165	54	1	1
SAMPLE166	39	1	1
SAMPLE167	31	0	2
SAMPLE168	33	0	2
SAMPLE169	43	0	2
SAMPLE170	42	0	1
SAMPLE171	40	1	1
SAMPLE172	52	0	3
SAMPLE173	53	0	1
SAMPLE174	58	1	3
SAMPLE175	39	1	3
SAMPLE176	41	0	1
SAMPLE177	61	1	2
SAMPLE178	34	1	3
SAMPLE179	69	1	2
SAMPLE180	47	1	3
SAMPLE181	50	0	3
SAMPLE182	37	1	2
SAMPLE183	78	0	2
SAMPLE184	56	1	3
SAMPLE185	53	0	1
SAMPLE186	42	1	2
SAMPLE187	44	1	1
SAMPLE188	42	1	1
SAMPLE189	41	1	1
SAMPLE190	40	0	2
SAMPLE191	61	1	1
SAMPLE192	36	0	2
SAMPLE193	51	0	1
SAMPLE194	55	1	3
SAMPLE195	47	1	2
SAMPLE196	33	0	3
SAMPLE197	46	1	3
SAMPLE198	72	0	1
SAMPLE199	64	1	3
SAMPLE200	46	1	3
SAMPLE201	43	0	2
SAMPLE202	60	1	3
SAMPLE203	69	0	3
SAMPLE204	59	0	1
SAMPLE205	59	0	1
SAMPLE206	44	1	3
SAMPLE207	37	1	1
SAMPLE208	42	0	3
