gene_id	chr	start	end
GENE_chr1_1	chr1	2000000	2050000
GENE_chr1_2	chr1	4000000	4050000
GENE_chr1_3	chr1	6000000	6050000
GENE_chr1_4	chr1	8000000	8050000
GENE_chr1_5	chr1	10000000	10050000
GENE_chr1_6	chr1	12000000	12050000
GENE_chr1_7	chr1	14000000	14050000
GENE_chr1_8	chr1	16000000	16050000
GENE_chr1_9	chr1	18000000	18050000
GENE_chr1_10	chr1	20000000	20050000
GENE_chr2_1	chr2	2000000	2050000
GENE_chr2_2	chr2	4000000	4050000
GENE_chr2_3	chr2	6000000	6050000
GENE_chr2_4	chr2	8000000	8050000
GENE_chr2_5	chr2	10000000	10050000
GENE_chr2_6	chr2	12000000	12050000
GENE_chr2_7	chr2	14000000	14050000
GENE_chr2_8	chr2	16000000	16050000
GENE_chr2_9	chr2	18000000	18050000
GENE_chr2_10	chr2	20000000	20050000
GENE_chr3_1	chr3	2000000	2050000
GENE_chr3_2	chr3	4000000	4050000
GENE_chr3_3	chr3	6000000	6050000
GENE_chr3_4	chr3	8000000	8050000
GENE_chr3_5	chr3	10000000	10050000
GENE_chr3_6	chr3	12000000	12050000
GENE_chr3_7	chr3	14000000	14050000
GENE_chr3_8	chr3	16000000	16050000
GENE_chr3_9	chr3	18000000	18050000
GENE_chr3_10	chr3	20000000	20050000
GENE_chr4_1	chr4	2000000	2050000
GENE_chr4_2	chr4	4000000	4050000
GENE_chr4_3	chr4	6000000	6050000
GENE_chr4_4	chr4	8000000	8050000
GENE_chr4_5	chr4	10000000	10050000
GENE_chr4_6	chr4	12000000	12050000
GENE_chr4_7	chr4	14000000	14050000
GENE_chr4_8	chr4	16000000	16050000
GENE_chr4_9	chr4	18000000	18050000
GENE_chr4_10	chr4	20000000	20050000
GENE_chr5_1	chr5	2000000	2050000
GENE_chr5_2	chr5	4000000	4050000
GENE_chr5_3	chr5	6000000	6050000
GENE_chr5_4	chr5	8000000	8050000
GENE_chr5_5	chr5	10000000	10050000
GENE_chr5_6	chr5	12000000	12050000
GENE_chr5_7	chr5	14000000	14050000
GENE_chr5_8	chr5	16000000	16050000
GENE_chr5_9	chr5	18000000	18050000
GENE_chr5_10	chr5	20000000	20050000
